date,monument,city/town,state0,country
2021.07.17 , Statue of Confederate Gen Alfred Mouton, Lafayette, Louisiana, USA
2021.07.10 , Statue of Robert E. Lee, Charlottesville, Virginia, USA
2021.07.10 , Statue of Stonewall Jackson, Charlottesville, Virginia, USA
2021.07.10 , The First View of the Pacific, Charlottesville, Virginia, USA
2021.07.09 , Christ of the Ozarks Statue, Eureka Springs, Arkansas, USA
2021.07.07 , Statue of Harry Byrd, Richmond, Virginia, USA
2021.07.07 , Confederate Soldier Monument, Tuskegee, Alabama, USA 
2021.06.18 , Sir John A. Macdonald Statue, Kingston, Ontario, Canada
2021.04.13 , Sir John A. Macdonald Statue, Regina, Saskatchewan, Canada
2021.02.06 , Confederate Statue of General Joseph E. Johnston, Dalton, Georgia USA
2021.02.04 , Gwinnett Historic Courthouse Confederate Monument, Lawrenceville, Georgia USA
2020.12.07 , Stonewall Jackson, Lexington - Virginia Military Institute, Virginia USA
2020.10.20 , Sterling Price Monument, Jefferson City, Missouri USA
2020.10.20. , The Soldiers' Monument, Santa Fe, New Mexico USA
2020.09.27 , Statue of John Pelham, Anniston, Alabama USA
2020.08.29 , Sir John A. Macdonald Statue, Montreal, Quebec, Canada
2020.08.11 , Talbot Boys Monument, Easton, Maryland USA
2020.07.27 , Henry County Confederate Monument, McDonough, Georgia USA
2020.07.24 , Christopher Columbus Chicago, Grant Park, Illinois USA
2020.07.24 , Christopher Columbus, Chicago, Illinois USA
2020.07.23 , St. Junipero Serra, Ventura, California USA
2020.07.22 , Monument to Confederate Troops, Phoenix, Arizona USA
2020.07.10 , Charles Didier Dreux Statue, New Orleans, Louisiana USA
2020.07.10 , John McDonogh Statue, New Orleans, Louisiana USA
2020.07.08 , Memorial to Confederate Soldiers and Sailors, Richmond, Virginia USA
2020.07.07 , Jeb Stuart Monument, Richmond, Virginia USA
2020.07.04 , Christopher Columbus Statue, Waterbury City Hall, Connecticut USA
2020.07.04 , Christopher Columbus Monument, Baltimore, Maryland USA
2020.07.03 , Confederate Brigadier General Albert Jenkins, Hampden Township, Pennsylvania USA
2020.07.02 , Matthew Fontaine Maury, Richmond, Virginia USA
2020.07.01 , Stonewall Jackson, Richmond, Virginia USA
2020.06.30 , Nash County Confederate Monument, Rocky Mount, North Carolina USA
2020.06.30 , Rockdale County Confederate Monument, Conyers, Georgia USA
2020.06.25 , Denton Confederate Soldier Monument, Denton, Texas USA
2020.06.22 , Andrew Jackson, Jacksonville, Florida USA
2020.06.20 , St. Junipero Serra, Los Angeles, California USA
2020.06.20 , Women of the Confederacy Monument, Raleigh, North Carolina
2020.06.20 , The Henry Lawson Wyatt Monument, Raleigh, North Carolina USA
2020.06.19 , Albert Pike Statue, Washington, DC USA
2020.06.19 , Memorial to Confederate Soldiers and Sailors, Raleigh, North Carolina USA
2020.06.19 , St. Junipero Serra, San Francisco, California USA
2020.06.19 , Ulysses S. Grant, San Francisco, California  USA
2020.06.19 , Francis Scott Key, San Francisco, California USA
2020.06.18 , Christopher Columbus Monument, San Francisco, California USA
2020.06.18 , George Washington, Portland, Oregon USA
2020.06.18 , Dekalb Confederate Monument, Atlanta, Georgia USA
2020.06.18 , Don Diego de Vargas Statue, Santa Fe, New Mexico USA
2020.06.17 , Statue of Richard W. Dowling, Houston, Texas USA
2020.06.17 , Spirit of the Confederacy, Houston, Texas USA
2020.06.17 , Christopher Columbus, St. Louis, Missouri USA
2020.06.16 , Howitzer's Monument, Richmond, Virginia USA
2020.06.16 , Juan de Onate Monument, Albuquerque, New Mexico USA
2020.06.15 , Juan de Onate, Alcalde, New Mexico USA
2020.06.13 , Jefferson Davis Status, Louisville, Kentucky USA
2020.06.13 , Marker dedicated to Confederate Soldiers and their Descendants, Fort Worth, Texas USA
2020.06.13 , Statue of Jefferson Davis, Frankfort, Kentucky USA
2020.06.13 , Bust of John McDonogh, New Orleans, Louisiana USA
2020.06.13 , The Pioneer, Eugene, Oregon USA
2020.06.13 , Pioneer Mother, Eugene, Oregon USA
2020.06.11 , Christopher Columbus Statue, Camden, New Jersey USA
2020.06.10 ," ""The Grandstand"" Confederate Memorial Services", Jacksonville, Florida USA
2020.06.10 , Jefferson Davis Monument Richmond, Virginia USA
2020.06.10 , Statue of Christopher Columbus, Minneapolis, Minnesota USA
2020.06.10 , Christopher Columbus Monument, Boston, Massachusetts USA
2020.06.10 , Confederate Soldier Memorial, Huntsville, Alabama USA
2020.06.10 , Confederate Monument, Portsmouth, Virginia USA
2020.06.10 , Confederate Soldiers Burial Plot Sculpture, Jacksonville, Florida USA
2020.06.09 , Confederate Soldiers Memorial, Jacksonville, Florida USA
2020.06.09 , Statue of Christopher Columbus, Richmond, Virginia USA
2020.06.09 , Statue of Sam Davis, Nashville, Tennessee USA
2020.06.08 , John B. Castleman Monument, Louisville, Kentucky USA
2020.06.08 , Confederate Soldiers and Sailors Monument, Indianapolis, Indiana USA
2020.06.06 , Gloria Victis, Salisbury, North Carolina USA
2020.06.06 , Confederate Gen. Williams Carter Wickham, Richmond, Virginia USA
2020.06.05 , Statue of Raphael Semmes, Mobile, Alabama USA
2020.06.05 , Women of Southland, Jacksonville, Florida USA
2020.06.03 , Statue of Frank Rizzo, Philadelphia, Pennsylvania USA
2020.06.02 , Athens Confederate Monument, Athens, Georgia USA
2020.06.01 , Statue of Robert E. Lee at Robert E. Lee High School, Montgomery, Alabama USA
2020.06.01 , Bentonville Confederate Monument, Bentonville, Arkansas USA
2020.06.01 , Bust of Robert E. Lee, Fort Myers, Florida USA
2020.06.01 , Confederate Soldiers & Sailors Monument, Birmingham, Alabama USA
2020.05.30 , Charles Linn Monument, Birmingham, Alabama USA
2020.05.30 , Statue of Edward Carmack, Nashville, Tennessee USA
2019.04.19 , Kate Smith Statue, Philadelphia, Pennsylvania USA
2018.10.01 , Thorfinn Karlsefni Statue, Philadelphia, Pennsylvania USA
2017.09.14 , Robert E. Lee Monument, Dallas, Texas USA
2017.08.25 , Confederate monument, Kansas City, Missouri USA
2017.08.16 , Jackson and Lee Monument, Baltimore, Maryland USA
2017.08.16 , Roger B. Taney Sculpture, Baltimore, Maryland USA
2017.08.16 , Confederate Soldiers and Sailors Monument, Baltimore, Maryland USA
2017.08.16 , Confederate Women's Monument, Baltimore, Maryland USA
2017.08.14, Confederate Soldiers Monument, Durham, North Carolina USA
2017.06.26 , Confederate War Memorial, St. Louis, Missouri USA
